team_id,team_name,ko_time,oppname,tm_score,oppscore,outcome,country_id,name,geo_id,geounits
33,Wales,-2804544000000,England,0,0,B,22,Wales,Wales,WLS
34,England,-3116793600000,Scotland,0,0,B,4,England,England,"JEY,MSR,IMN,ESB,IOT,ENG,PCN,SGS,GIB,SHN,FLK,GGY,WSB,AIA"
35,Scotland,-3116793600000,England,0,0,A,16,Scotland,Scotland,SCT
36,Ireland,-2994019200000,England,0,0,B,9,Ireland,Ireland,"IRL,NIR"
37,New Zealand,-2094854400000,Australia,22,3,A,13,New Zealand,New Zealand,"TKL,NZL"
38,Australia,-2225491200000,British & Irish Lions,13,3,A,2,Australia,Australia,AU1
39,South Africa,-2474841600000,British & Irish Lions,0,4,B,17,South Africa,South Africa,ZAF
40,Argentina,-1879459200000,British XV,3,27,B,1,Argentina,Argentina,ARG
41,Italy,-1281830400000,Spain,0,9,B,10,Italy,Italy,ITA
42,France,-2019686400000,New Zealand,8,38,B,6,France,France,"SPM,BLM,CLP,GUF,MAF,WLF,FXX,ATF"
43,Spain,-1344405600000,France,6,66,B,18,Spain,Spain,ESP
44,Portugal,-1095724800000,Spain,5,6,B,24,Portugal,Portugal,PRT
45,Samoa,-1431820800000,Fiji,0,6,B,15,Samoa,Samoa,WSM
46,Fiji,-1431820800000,Samoa,6,0,A,5,Fiji,Fiji,FJI
47,Tonga,-1431216000000,Fiji,9,6,A,19,Tonga,Tonga,TON
49,Japan,-1239321600000,British Columbia,3,3,,11,Japan,Japan,JPN
50,Canada,-1196640000000,Japan,8,9,B,3,Canada,Canada,CAN
51,USA,-1802736000000,Australia,8,12,B,21,United States,United States of America,"FQI,BQI,WQI,MNP,DQI,PRI,JQI,USA,HQI,MQI,KQI,VIR,LQI"
52,Romania,-1596412800000,US Army,0,21,B,14,Romania,Romania,ROU
57,Zimbabwe,347155200000,Kenya,34,24,A,23,Zimbabwe,Zimbabwe,ZWE
58,Namibia,637977600000,Zimbabwe,33,18,A,12,Namibia,Namibia,NAM
64,Netherlands,-1193011200000,Belgium,6,6,D,8,Netherlands,Netherlands,"SXM,NLX,NLY,ABW"
68,Uruguay,-672883200000,Chile,3,21,B,20,Uruguay,Uruguay,URY
578,Rhodesia,-1433980800000,British & Irish Lions,3,16,B,23,Zimbabwe,Zimbabwe,ZWE
681,Cote D'Ivoire,189302400000,Tunisia,22,6,A,95,Cote D'Ivoire,Ivory Coast,CIV
692,Andorra,552096000000,Bulgaria,6,30,B,52,Andorra,Andorra,AND
693,Arabian Gulf,741744000000,Namibia,20,64,B,50,Arabian Gulf,Arabian Gulf,"EGY,BHR,KWT,QAT,OMN,LBN,SAU,ARE,JOR"
696,Austria,704851200000,Hungary,9,23,B,58,Austria,Austria,AUT
697,Bahamas,858988800000,Bermuda,3,24,B,68,Bahamas,The Bahamas,BHS
698,Barbados,347155200000,Trinidad & Tobago,0,51,B,71,Barbados,Barbados,BRB
699,Belgium,-1193011200000,Netherlands,6,6,,28,Belgium,Belgium,BEL
700,Bermuda,157766400000,Jamaica,16,10,A,56,Bermuda,Bermuda,BMU
701,Bosnia & Herzegovina,874800000000,Croatia,5,62,B,74,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
702,Botswana,842054400000,Zimbabwe,10,130,B,66,Botswana,Botswana,BWA
703,Brazil,-1052006400000,British & Irish Lions,0,81,B,72,Brazil,Brazil,BRA
704,Bulgaria,-208915200000,Romania,3,70,B,59,Bulgaria,Bulgaria,BGR
705,Cameroon,996336000000,Zambia,24,25,B,87,Cameroon,Cameroon,CMR
707,Cayman Islands,881971200000,Trinidad & Tobago,14,31,B,79,Cayman Islands,Cayman Islands,CYM
708,Chile,-1050278400000,Argentina,0,29,B,27,Chile,Chile,CHL
709,China,878342400000,Singapore,3,33,B,78,People's Republic of China,China,"PFA,CHN"
710,Chinese Taipei,-25228800000,Japan,0,62,B,31,Chinese Taipei,Taiwan,TWN
711,Colombia,1002386700000,Venezuela,0,55,B,88,Colombia,Colombia,COL
712,Cook Islands,331689600000,Italy,15,6,A,69,Cook Islands,Cook Islands,COK
713,Croatia,738028800000,Hungary,78,3,A,60,Croatia,Croatia,HRV
714,Czechia,582681600000,USSR,4,36,B,32,Czech Republic,Czechia,CZE
715,Denmark,-637200000000,Sweden,0,6,B,33,Denmark,Denmark,DN1
720,Georgia,621561600000,Zimbabwe,16,3,A,55,Georgia,Georgia,GEO
721,Germany,-1347840000000,France,5,30,B,7,Germany,Germany,DEU
722,Guam,1119106800000,India,8,8,D,85,Guam,Guam,GUM
723,Guyana,725846400000,Trinidad & Tobago,7,48,B,73,Guyana,Guyana,GUY
725,Hong Kong,-25747200000,Japan,22,24,B,34,Hong Kong,Hong Kong S.A.R.,HKG
